Herb,Zones,Planting_Season,Planting_Time,Maturity_Time,Special_Instructions
Basil,"[4, 5, 6, 7, 8, 9, 10, 11]","Spring, Summer","April-June","60-90 days","Plant after last frost; prefers warm temperatures and full sun."
Bay Leaf,"[8, 9, 10, 11]","Spring","March-May","2-3 years","Plant in early spring; thrives in warm climates and well-drained soil."
Borage,"[2, 3, 4, 5, 6, 7, 8, 9, 10]","Spring, Summer","March-June","60-80 days","Plant in early spring; attracts pollinators and prefers full sun."
Chive,"[3, 4, 5, 6, 7, 8, 9]","Spring, Fall","March-April, September-October","60-90 days","Plant in early spring or fall; tolerates partial shade and moist soil."
Cilantro,"[2, 3, 4, 5,6, 7, 8, 9, 10, 11]","Spring, Fall","March-April, September-October","45-70 days","Plant in early spring or fall; prefers cooler weather and well-drained soil."
Dill,"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","Spring, Summer","March-July","40-60 days","Plant after last frost; needs full sun and well-drained soil."
Fennel,"[4, 5, 6, 7, 8, 9]","Spring, Summer","March-June","90-120 days","Plant in early spring; prefers full sun and moist soil."
Ginger,"[8, 9, 10, 11, 12]","Spring, Summer","April-August","8-10 months","Plant in spring or summer; requires warm temperatures and rich, moist soil."
Horseradish,"[3, 4, 5, 6, 7, 8, 9]","Spring, Fall","March-May, September-October","6-12 months","Plant in early spring or fall; grows best in deep, loose soil."
Lavender,"[5, 6, 7, 8, 9, 10, 11]","Spring","March-May","1-2 years","Plant in early spring; requires well-drained, sandy soil and full sun."
Lemon Balm,"[3, 4, 5, 6, 7, 8, 9]","Spring, Fall","March-May, September-October","60-90 days","Plant in early spring or fall; tolerates partial shade and moist soil."
Lemongrass,"[9, 10, 11]","Spring, Summer","April-July","90-120 days","Plant in spring or summer; needs warm temperatures and well-drained soil."
Marjoram,"[3, 4, 5, 6, 7, 8, 9, 10, 11]","Spring, Summer","March-June","60-90 days","Plant after last frost; prefers warm weather and full sun."
Mint,"[3, 4, 5, 6, 7, 8, 9, 10, 11]","Spring, Fall","March-May, September-October","60-90 days","Plant in early spring or fall; spreads quickly, so grow in containers if needed."
Oregano,"[4, 5, 6, 7, 8, 9, 10]","Spring, Summer","March-June","60-90 days","Plant in early spring; prefers full sun and well-drained soil."
Parsley,"[5, 6, 7, 8, 9]","Spring, Fall","March-May, September-October","70-90 days","Plant in early spring or fall; grows well in partial shade."
Rosemary,"[7, 8, 9, 10, 11]","Spring, Fall","March-April, September-October","1-2 years","Plant in early spring or fall; prefers well-drained soil and full sun."
Sage,"[4, 5, 6, 7, 8, 9, 10]","Spring, Fall","March-May, September-October","60-90 days","Plant in early spring or fall; needs full sun and well-drained soil."
Tarragon,"[4 ,5, 6, 7, 8, 9, 10, 11]","Spring","March-May","60-90 days","Plant in early spring; prefers well-drained, sandy soil and full sun."
Thyme,"[2, 3, 4, 5, 6, 7, 8, 9, 10]","Spring, Fall","March-May, September-October","90-120 days","Plant in early spring or fall; requires full sun and dry, well-drained soil."